class,tweet
positive,@eiad_tennis موفق ياكابتن يا اياد .. نشوفك تعلق على فيدرر في الموسم القادم بإذن الله ❤️
negative,لأول مرة منذ ١٣ سنة .. روجيه فيدرر و رفاييل نادال خارج قائمة أفضل ٤ لاعبين في العالم 🎾 #أساطير https://t.co/LXN1Fdr3dx
positive,"روجر فيدرر هو اعظم لاعب تنس ف التاريخ لاشك ف هذا ! من اسباب تميزه ايضا  اخلاقه ""روجر قبل 5 سنوات يعطى درسا فى... https://t.co/5zHG9tOn9w"""
neutral,RT @14__moony: تبعد وأنا أبعد ../ وتزداد فيني #قروب_المملكة_للدعم#فيصل_الراشد_للدعم#قروب_فيدرر#قروب_مختلف_للدعم#قروب_احساس_شاعر
neutral,@3moori منو احسن نادال ولا فيدرر؟
positive,@EgAntiCoup يعني حيكون زي اللورد دارث فيدرر ههههههههههههههههه
neutral,@elszo ههههه .. الللورد دارث فيدرر ده من البلد اللي جنبنا طوالي .. بعد المصرف طوالي
positive,@FCBW_A7 @AliwaSasi ممكن حساب ليو ميسي الرسمي 😘
positive,"RT @forcabarca_ar: تصريح سابق لفينغر :ميسي لاعب بلاي ستيشن هو وحده الذي يجعل الأشياء المستحيلة ممكنة"" https://t.co/Iatrnan9VO"""
negative,RT @A_FAHAD24: #الاهلي_برشلونهميسي يدعي الاصابة خوفاً من مواجهة معتز هوساوي https://t.co/OCPxFU06x1
positive,@Ah_37_ راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂
neutral,نجم روما: ”ميسي خامس أخطر مهاجم واجهته”، فمن هم الأربعة الآخرون؟؟ رابط الخبر : https://t.co/UMWsyZPVPR
positive,RT @FCBW_A7: غوميز : قادة الفريق (ميسي وإنييستا و بوسكيتس) ساعدوني كثيراً منذ يومي الأول في التدريبات، و فهم التكتيك و ايضاً التقرب الي باق…
positive,RT @FCBW_A7: إيمري كولاك (ديبورتيفو) : أردا توران مثل أخي و هو قدوة بالنسبة لي ، ميسي الأفضل و انا مُعجب به كثيراً
neutral,RT @CR_ic7: عـام 2016كرستيانوهداف تصفيات كأس العالم 2018 هداف وبطل دوري الابطالهداف وبطل امم اوروبا 2016ميسيهداف كأس غامبرمتخاذل وخ…
positive,RT @3FLnQe: مورينيو - بيليه مارادونا ميسي الافضل بالتاريخ- كنت ادرب رونالدو ليس هذا بل الحقيقي البرازيلي.المصدر قناة الريال⬇https://t.…
positive,RT @ELRey_FCB: بيب : ميسي أفضل لاعب في تاريخ دوري الأبطال و لا يوجد من هو أفضل منه 👌🏻و يلوموني فيك 😍😍 https://t.co/52gi26aKVk
neutral,RT @BeesoS11: توماسوف لاعب كبير وكان افضل لاعب في كرواتيا الموسم الماضي لاتحكموا على مستواه مع #النصر البيئة سيئه جدآ لو جبتو ميسي بيتحو…
positive,"RT @3boosh_almlkiah: #الاهلي_برشلونهميسي في تصريح للاكازيتا دي سبورت: من المهيب مواجهة عقيل بالغيث…اتمنى ان لا يكون في احسن مستوياته…ا…"""
neutral,RT @FCBW_A7: MD | سيعود ميسي للتدريبات مع المجموعة يوم الخميس و من المتوقع أن يحصل على التصريح الطبي يوم السبت https://t.co/uFj2sR2IBD
positive,RT @FCBW_A7: غوميز : نستمتع كثيراً في التدريبات في وجود ميسي و نستمتع أكثر حينما يُقدم لنا أشياء جديدة
positive,RT @FCBW_A7: غوميز : ما يفعله ميسي في المباريات يفعله في التدريبات بشكل طبيعي للغاية ، نحن شيئاً فشيئاً في الفريق تعودنا على ما يقوم به
positive,RT @FCBW_A7: غوميز : عن ليونيل ميسي - ماذا يمكنني أن أقول عنه؟  ليو لاعب يعرفه الجميع ، يفعل أشياء غير عادية !
positive,RT @Leo_messi0000: يقول ماسكيرانو : كرة القدم تتحكم بكل شيء ، لكن ليونيل ميسي هو الوحيد في العالم الذي يتحكم بكرة القدم ..!  https://t.co/…
neutral,RT @zk_kuw: بيب غوارديولا عن ليونيل ميسي من كتابه الجديد https://t.co/6ibAE2CfnA
positive,RT @coach_barca: عجججججججيب هالانسان والله يفهم 😍😍ركزوا على كلامه عن ميسي درر 😍😍❤️❤️ https://t.co/UAWH21PUIf
neutral,RT @itsal7maidi: بشهر 12 كريستيانو يلعب في كاس العالم للانديه ضد ابطال القاراتميسي في مباراه ناريه ضد عقيل بلغيث ومحمد امان 🔥🔥اختلاف ط…
positive,RT @FCBW_A7: جوردي كرويف ( إبن يوهان كرويف ) : أبي تأثر جدا من ركلة الجزاء التي سجلها ميسي و سواريز ، كانت لحظة فخر بالنسبة له
positive,RT @isultan_fcb: هاتريك ميسي ذو ال١٩ عام في مرمى ريال مدريد  https://t.co/coKj5PHklC
positive,مستحيل تتغير قناعتيان #ميسي اسطورة بس م راح يوصل ل #كريستيانو ابدا #كريستيانو الافضل على الاطلاق
positive,دبي تستضيف «برولايت آند ساوند» 31 الجاري——————————-دبي:«الخليج»أعلنت «ميسي فرانكفورت الشرق الأوسط»، عن إطلاق... https://t.co/z0RgVc6iB1
neutral,RT @iRMLife: الاهداف مع المنتخب في المباريات الرسمية :كريستيانو - 52بيليه - 43الظاهرة - 41سواريز - 30ميسي - 29مارادونا - 17نيمار -…
neutral,RT @Sir_Mohammed11: مع المنتخب•اجمالي الاهداف:كريس(66)ميسي(56)•الرسمية منها:كريس(52)ميسي(29)•الودية منها:كريس(14)ميسي(27)•الا…
neutral,RT @ToOTaLive9: #قروس يقولكم هاتوا ميسي وسواريز ونيمار 😎بيجلدهم مثل ماجلد الهلال في ثلاث ايام رايح جاي 😎 #الاهلي_برشلونه https://t.co…
neutral,RT @whatsapp_5: ميسي : مبروك يا صديقي والى اللقاء في روسيا https://t.co/RDdeybNAIE
neutral,ميسي عبر الإنستغرام ينشر صوره يشاهد بها مباراة الأرجنتين vs البارغواي: كل شيء جاهز ... ڤاموس أرجنتينا 💪💪💪 https://t.co/IJgaKhYHOW
negative,@SL_FuT طيب ميسي وسواريز مسوينن اظءء نشرب من نفس الكوب ويشيل ولده ومدري وش
neutral,واتس اب 0500776424 https://t.co/cN7dLaIhnJ#شرك_الرافضه_في_عاشورا#خواجي_جمهورك_معك#مصر_لن_تركع#فهد_المولد_افضل_من_ميسيAF5P
negative,الأرجنتين لا شي بدون ميسي 😎حتى لو فازت أداء غير مقنع ❌
positive,RT @chelitti: افتخر اني عشت زمن ميسي وكريستيانو وفهد المولد
negative,@itthad_barca مشكلة الارجنتين انها تختار مدربين مشّي حالك.الفريق يتأثر بغياب ميسي لان الفريق اصلا بدون مدرب.
negative,لا جديد هذا مستوى الأرجنتين بلاد الفالصو بدون الذهبي ميسي
negative,RT @Rashedalkaabiii: والله عيب حتى #ميسي قام يطقطق علينا 😅✋🏼حد يشوف لنا حل 💔🇦🇪#مهدي_علي_برع #انقذوا_الحلم #اقاله_مهدي_علي https://t.co/…
negative,@MITIB_FCB منتخبهم فقاعة صابون بدون ميسي
negative,اجل اهزوجه ميسي الكلب القم ياكلب انت وياه
negative,RT @KasQ8_: ميسي عنده منتخب قوي وعناصر خرافيه بس هو يخذلهم ….. - https://t.co/V1JfFa7SCn
positive,RT @DRBARCAWY: #ميسي قليل أدب المدربين يحطون خطين دفاع وهو يضربهم بتمريره وحده ،، https://t.co/ihaZccq3jS
negative,البارغواي متقدمه على الارجنتين !!؟التانغو بلا ميسي منتخب اوضع من منتخب الهند !!
negative,الأرجنتين بدون ميسي مثل الشتاء بدون مطر .. ☔️🌧
negative,مو معقوووولة لاعبين بهالحجم غياب لاعب حتى لو هاللاعب هو #ميسي ياخي شلون تبي تحقق مونديال وأنت بدونه ضاااااايع !!!!#الارجنتين_البارغواي
positive,RT @taloo157: ليونيل ميسي عبر الانستغرام : هدف صديقي فهد المولد من افضل الاهداف اللتي رأيتها في حياتي سأطلب منه تعليمي الطريقه https://t.co…
neutral,الا غصب يخلون ميسي هو صانع امجاد الارجنتين
negative,ميسي قاعد يتابعكم الحين على القليل احترمو هذا الشي يا عاهات 😑😑
negative,RT @barca1yousef: هذا وضعكم بدون ميسي يا تافهين يا عاهات
positive,RT @Rudwan_h: ميسي يحتفل مع هدف صديقه فهد بسيلفي فخم✌️ https://t.co/oFtdz0WlyF
negative,RT @madrid2018: تمنيت لو ان فهد مثل ميسي .. ولكن طلع مختلف تماما !! https://t.co/5uO5OJxMFS
positive,RT @Italy_arab: رسمياً | أسطورة كرة القدم جيجي بوفون ينال جائزة القدم الذهبية لعام 2016 متفوقاً على الأرجنتيني ميسي و البرتغالي رونالدو . h…
neutral,RT @MrMuhnad: عدم وجود ميسي في الملعب يعني ان أي منتخب سوف يمتلك الجرأة لكي تهاجم وهنا ترى عيوب الدفاع!واحدة من المميزات التي تفقدها الأرج…
negative,@Lionel__FCB مع ميسي لم تحقق كأس العالم ولم تحقق كوبا الذهبيه حتى الفضييه بعد
negative,RT @Hamdanium: انا من شفته مسوي يمون على ميسي وانا خايف منه https://t.co/rQMYePT6g2
negative,الارجنتين بدون ميسي مضحكه 😂😂
negative,ميسي قاعد بيسب دين في البيت.
negative,RT @ph5f5: الي يقول الارجنتين بدون ميسي تستطيع الفوز و منتخب يملك نجوم  و لاعبين كبار؟ معقوله مباراتين ، و جميعها مستوى اسوء من السيئ ، اين…
neutral,@ph5f5  ميسي و هو في اسوء مستوياته تلعب الارجنتين افضل من هذا الاداء بكثير ، يكفي حضور ميسي يجعل الخصم يتكتل في الخلف و يكثف الدفاع 💔
neutral,RT @itti_juve: مع هدف الباراغواي رجعنا لنغمة ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهائي و…
negative,واضح من كلام الناس ان مدرب الارجنتين بوذا .. اسوأ من تاتا مارتينو المدرب ده اول ما لاعب ميسي وهو عارف انه مصاب قولت عليه ملوش فيها
neutral,..كوريا وديبالا. أغويرو دعه يعتزل ياخي واذا رفض ميسي ومانع تخلص من ميسي . لكن الاتحاد يمنعه لان ميسي يتحكم بهم كلنا نعرف ذلك.يتبع
positive,متش ناااااااااااار..... فينك يا ميسى 󾍀 - يشاهد مباراة الارجنتين وباراجواي
neutral,"RT @ishawky_: الأرجنتين لا تساوي شىء بدون أحسن لاعب في المجرة ليونيل ميسي"""""
positive,RT @BarcaDN: الكاسير: ميسي لاعب رائع جدا ، وقد فاجئني كشخص انه مثال للتواضع
neutral,يحق لك يالمولد تشوف ميسي بنص عين 😂 https://t.co/twDzpuZHQ3
neutral,@_Majd_ القم ياوضيع هذا حال منتخبك بدون ميسي
negative,الارجنتين لاقمة كالعادة،  يلعنم الخياس يا ناس نبي مدرب صاحي موب معقول بدون ميسي ما يفوزون ابداً !
neutral,@Lionel__FCB انا اقول واحد يلبس شورت ميسي وتمشي الامور
negative,RT @m6rwan_: ميسي يضيع بلنتي وينكبهم ويطير اللقب وماسكيرانو ينكبهم في مبارتين ثم البرشلوني يحطها في راس الضعيف هقواين💔
neutral,والله مشكله الارجنتين بدون ميسي! الحمدلله ان التصفيات طويله ويمديه يرجع ولا صعبه التأهل!!!
neutral,RT @Rymyh_24: #السعوديه_الامارات #المنتخب_السعودى#فهد_المولد سيلفي ميسي مع هدف صديقه فهد المولد 😁👍🏻⚽️ https://t.co/5pUfX843HI
neutral,@iOtb__7 اذا ما لعب ميسي مو مهم عنده المنتخب الارجنتيني
neutral,RT @Salmanihooo: محنكين بيونس ايرس ان فازت الارجنتين بعد شوي قالوا احنا افضل بدون الفقاعه وان تعثرت قالوا ميسي هرب من المسئوليهبكل الحالتي…
negative,@iOtb__7 اخوي يشجع الارجنتين يتمنى خسارتهم اليوم عشان ميسي مايلعب
negative,@Moaazf1 @sabqorg يادلخ منتخب الارجنتين اللي يلعب فيه ميسي بيلعب في كأس العالم 2018 بروسيا واذا تقابلت السعوديه مع الارجنتين ياحمار المولد ب
neutral,ميسي يعود للملاعب في مباراة ديبورتيفو لاكورونيا ! https://t.co/0dM4lZHEsW https://t.co/XUrzq1Rsse
neutral,RT @al_rakkad: مهما كابر البعض .. الارجنتين بحاجه ماسه الى هذا الرجل !من دونه نتائج سيئه جدًا .. الارجنتين من دون ميسي لاشيء .. https://…
neutral,هذا الارجنتين الي وصل ثلاث نهائيات ورا بعض ميسي ساتر عليهم
negative,@X_alt122 في الاخير تراه لاعب لاراح ولا جاءحسستوني انه ميسي ولا رنالدوماطيره للسماء الا انتم 😒ماشفتو خير اول مره تجيبون مهاجم يسجل 😂
positive,RT @Lionel__FCB: مع ميسي توصل ثلاث نهائيات قارية متتالية بدونه لا فرق بينك و بين اندورا صاحب المركز 203 بالتصنيف العالمي
negative,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههلا بس اضحك ع الي يقول ديبالا خليفة ميسي
neutral,@Guti_Madridd ميسي اهدافه على البرازيل و الاورغواي و كرستيانو على جزر الفار https://t.co/QtPXYSZdw1
negative,ديميكليس هذا مفترض لا يلعب ، صديق ميسي .موساتشيو ليس مدافع يسار ومايدانا وغاراي افضل،لا اعرف لماذا ميسي مستبعد غاراي.
positive,RT @hamad_alharbi11: #الأرجنتين من غير ميسي مو مترقع 😏
negative,المنتخب بدون ميسي ضااايع وبدون شخصية وهوية بقيادة ملك العك دي ماريا وباقي العاهات .
neutral,@AdelAliBinAli ميسي.
neutral,@itthad_barca المنتخبات الثانيه ماعندها ميسي لكن تشوفها في الميدان افضل وما اشوف حتى لعيبتهم افضل من الارجنتين لكن المدربين يفرقون
neutral,@Shevaalshreef مافهش يا نصي ميسي هوه لارجنتين عليا طلاق كلهم نجوم علي لابيض
neutral,RT @Sultan1391M: #فهد_المولد مبدع صديق ميسييضيع 50 إنفراد ويسجل على الطائر  عل طريقة فان باستنوما رميت إذ رميت ولكن الله رما https://…
negative,شكل السعوديه واوزباكستان يبون يتأهلون لكأس العالم والارجنتين لاء اجل ميسي متخاذل هههههههههههههههههههههه استغفرالله بس #الارجنتين #ميسي
neutral,@fans__14 مع ميسي فازوا على متصدر المجموعه ،بدون ميسي حتى اخر منتخب في المجموعه تعادلوا بصعوبه مانختلف وجود لاعبين كبار لكن مع المنتخب لاشيء
neutral,ختاما هذا وقت غايتان ديبالا كرانيفيتير والبقية .. التجربة والانسجام ويلعبون مع بعضهم وابعاد الديناصورات على رأسهم ميسي ولا تكرار فضيحة ٢٠٠٢
neutral,#السعوديه_الاماراتميسي يتابع الصديق والعشير فهد المولد https://t.co/Eb9qP6pw2f
neutral,"RT @Leo_messi0000: فهد ظهر كـ الاسد ميسي"" و عموري ظهر كـ ""المونتهي"" - صورتين تبين لك كل شيء .. ) اذا عُرف السبب . . بطل العجب ) https…"""
negative,@Lionel__FCB ياخي ترا نفس سالفة ميسي مع ذا المنتخب ، وش ذنب المدرب إذا اللاعبين زلايب ؟؟؟!!
positive,RT @kimo7879: #السعوديه_الاماراتميسي:ماذا فعلت بهم ياصديقي فهد ؟!فهدلميسي: من متى المعرفه 😂😂😂😂😂😂#عودة_بطل #فهد_المولد#منتخبنا_اولا #مع…
negative,RT @Rnabrr: ليو ميسي عبر الفيس بوك : فاموس يالقوادين  https://t.co/d4yha5bAPv
negative,الأرجنتين في أرضها و بين جمهورها خسرانه من البارغواي حتى الآن، يقولون الأرجنتين منتخب في لاعبين كبار حتى بدون ميسي راح يوصلون الثلاث نهائيات
neutral,RT @BarcaDN: الكادينا كوبي: ميسي سوف يتدرب مع المجموعة غدا الاربعاء لاول مره بعد تعافيه من الاصابه https://t.co/ZJ3SrwgeEN
neutral,RT @Lionel__FCB: في تكتيك لو يستخدمه الشايب العايب باوزا اضمن انهم بيفوزون بالراحة ، يوريهم بين الشوطين الصورة اللي نزلها ميسي و شف الحماس…
neutral,RT @s_a_i_f_87: التلميذ ليونيل ميسي يتابع اسطورته فهد المولد https://t.co/6pLcCwLggE
positive,@Bankerchy ههههههههههههههه اي ذكرني بعيد ميلادك اجيب لك نفس بومة هاري بوتر تستاهل
neutral,RT @Yousiif65: هاري بوتر؟👓🎩 https://t.co/959OoWvGZr
neutral,هاري بوتر ؟ هاري بوتر.
neutral,RT @9boymozah: الهييه احسهم مرا متأثريين  بفلم هاري بوتر 😅 #الهييه_رادع_لكل_اعدا_الوطن
negative,لأول مرة في حياتي بشعر بعدم الرغبة بمشاهدة هاري بوتر لآخرو
positive,أول ما طلع هاري بوتر كنت اخاف من دوبي لدرجة ما أنام بليل 😂💔 و @Mraiw_Alduaij دايماً تضحك علي على هالسالفه 🙃 و هاذي… https://t.co/pHKPzpEniD
neutral,@alaabenk98 سحبي عشان نسوي ماراثون هاري بوتر مع بعض...
positive,'دانييل رادكليف' (هاري بوتر ) لما حب يبعد عنه المعجبات 😂😂✋قمة الشبحنه والله 😂😂 وشوف الحلقة ومسكة السيجاره 😎😎😂😂 https://t.co/Vp7SvBr72w
neutral,RT @Drfuture1: #نعنبوزينهلقطة حزينة بـ لمسة خليجية من فيلم هاري بوتر https://t.co/dRrpBoDgUi
positive,في وحدة نظاراتها و عيونها مثل هاري بوتر بالزبط و غرتها متله بس لو تقص شعرها و تصبغه اسود وااااااال
neutral,@238Reaam مش طالبة هاري بوتر قسما بالله 😂
positive,@SAUL_A11 المشهد اللي نقل هاري بوتر من عمل عظيم الى اعظم عمل https://t.co/dgdx73JkGN
positive,#رحلة يوم #عائلية إلى #استديوهات #هاري #بوتر حيث تم #تصوير #أفلامه. #لعشاق #الأساطير انها #الرحلة #الأمثل https://t.co/SAjYuV3kbn
positive,بالصور.. علبة مكياج هاري بوتر تثير هوس مستخدمي الإنترنت https://t.co/zuDmjYEQ9G https://t.co/dy7gEwMBPJ
neutral,باقي بس ثلاث ايام عن اول عرض لفلم فانتاستيك بيتس ان وير تو فايند ذيم * قيل قصة هاري بوتر بـ 19 سنة 😭 اخخخيراً.
positive,ابغا اتفرج هاري بوتر وكس ام الواجبات
positive,Fantastic Beastsسلسلة جديدة prequel لسلسلة هاري بوتر ، هتبقا 3 اجزاءاللي كان بيحب هاري بوتر او لو *حد مهتم* ممكن… https://t.co/XLD2DX8J8K
negative,بيتخيل نفسه ليه فورمة لازار وبيطير زي سوبر مان ولابس شميز بولو ع بوكسر اخضر وبليزر بترولي ولابس نضارة هاري بوتر الأ… https://t.co/U6TkQ2hwct
neutral,RT @clip_x: الفنانة القديرة: حياة الفهدفي مشهد درامي من فيلم #هاري_بوتر 😊 https://t.co/ku2S5rwmdF
positive,@_De5tiny_ قدني اتخطيتو و قاعده اقرا كتاب هاري بوتر 🌞
neutral,@HaneulD ابي كتاب هاري بوتر :( لمن نقلنا بيتنا ذا ضاع الصندوق الي فيه كتبي 😭😭😭😭😭
neutral,RT @Ahmeedsamir96: دانيال رادكليف (هاري بوتر) مع كلابه. https://t.co/GjWKFhtC0f
positive,يالله و اخيرا قد ايش اشتقت لسلسله هاري بوتر 😍😭 https://t.co/LGx0cwYDqq
neutral,@_wajood_ هاري بوتر؟
neutral,معقوله شما تشبهه هاري بوتر 😂😂😂😂😂😂😂😂 https://t.co/DyehqPY4kf
neutral,ابغى اصادق وحده تشبه هاري بوتر بمدرستي وهي اكبر مني الي تعرف كيف تجي خاص تقولي بليز💔💔
neutral,هاري بوتر و كأس الخمر
positive,شفت سلسلة افلام هارى بوتر كلها ف يوم واحد وهشوفها تانى انهاردا#عااااااااش
neutral,RT @thowth__: @vnvnc  😏🔥هاري بوتر ستايل تجنن
positive,RT @_ixAmal: @vnvnc سيم سيم هاري بوتر 
neutral,هاري بوتر يعود من جديد 🐥😂😂😂 https://t.co/6BpABMDRSf
positive,"النوم لا يجافيني . جميع افكار وتخيلات  هاري بوتر "" تقبع الآن في دماغي !!"""
negative,99% من منتقدين هاري بوتر ما شافوه وال %1 مجرد حشرات لا يستطيع اي شي تطهيرها
neutral,RT @d_0k: @MousaAlomar @bitawqitMasr هذه تشبه الساحره الي في فيلم هاري بوتر 😂😂
positive,نsupport هارى بوتر الفنان ياخوننا 😂😂 https://t.co/lyxllNPnnQ
neutral,@l_G_O_Nنفس العالمالقصة قبل هاري بوتر بـ70 سنة عن بروفيسور معاه شنطة فيها مخلوقات عجيبة طرد من هوقوورتس وسافر لنيويورك وتبدأ القصة من هناك
neutral,@GlasgowMubtath قطار هاري بوتر ايضا يبدأ رحلته من هذه المدينه كل يوم .
positive,هو ليه مفيش ف حفلة ال graduation فقرة راقصة زي تخرج هاري بوتر و يبقوا couples و نشغل حاجة كلاسيك و كدة
neutral,@tariqboogie للأسف ملقتش البتاعه الي بيلبسوها في دماغهم في هاري بوتر قولت دي تمشي
neutral,RT @mbc2: توم فيلتون يودع هاري بوتر بقصة حب حقيقيةhttps://t.co/15uTf4gmuX#MBC2 https://t.co/hsHQmaR1zn
neutral,RT @movies_popcorn: تزامننا مع اقتراب عرض فيلم Fantastic Beasts شركه @CinescapeQ8 الكويتيه تعلن عن اعادة عرض اخر جزئين من هاري بوتر بتقنيه…
negative,@aladab_algarbi القائل هو ممثل دور هاري بوتروللأسف ليس اهلاً لقول الحكم
neutral,ليه ميبقاش في مدرسه لتعليم السحر زي هاري بوتر ؟؟ 😟
neutral,@fingo33 عارف هاري بوتر
neutral,@_hiima انا عارف فولدمرت بتاع هاري بوتر بس مش فاهم والله :D
negative,@MaktabaAmma الدعاية التجارية ترفع الكتاب ولو كان المضمون تافه او غير مفيد، مثل سلسلة هاري بوتر وغيرها،فبعض الناس تبحث عن ما لا يجعله يفكر
negative,الجزء الخامس في هاري بوتر معجبنيش السؤال هنا اكمل للاخر ولا هيبقوا زى الخامس 😕
neutral,يصير اقول فلم 🙊 توايلايت -هاري بوتر -قراصنة الكاريبي 🚶 https://t.co/RcVg4bHfjm
positive,لما غيرت نظارتي خليتها دائرية كان كل البيت يتطنز علي وصرت هاري بوتر وكل شي والحين كل شوي جاي عندي احد يجربها بيشترون مثلها
neutral,هاري بوتر و كوبري ٦ أكتوبر
positive,"RT @WorldArt_: الفنانة ميريديث"" تُزين جدران بيتها بكتابة أول صفحة من رواية هاري بوتر. https://t.co/5DjzVbfdni"""
neutral,الناس المؤمنين بالسحر كان لازم نوضحلهم ان هاري بوتر مو فلم وثائقي
neutral,قولوا لي انتم مين بقى ما سوا كومباك كل من هب و دب سوا كومباك عدا توني ون كأن واي جي ملبسهم عباية هاري بوتر السحريه 🔥
positive,@SaeedALGhammdi مدينه يعشقهاالسياح لوجود أعلى قمة uk بن نفيس أيضا قطار هاري بوتر وتلفريك ليست مدينة تسوق طبيعة ساحرة سكانها ودودين بسطاء
neutral,@aldanahk @girlposts دام انه مال هاري بوتر بستعمله 💅🏼
positive,اذا ابدعو فيه مثل هاري بوتر بتصير سلسله عظيمه
positive,ما هو أفضل فلم شاهدته على الأطلاق؟ - سلسة أفلام هاري بوتر   https://t.co/765mfaDtxJ
neutral,RT @ImaShatha: هاري بوتر صار رابر وانا الى الان ادرس https://t.co/EZ7kwz7Pzi
positive,@Emma_R94 نوبة كم انتي مذهلة اوه ماي قاد 😂😂😂تخيلتك هاري بوتر
positive,فيه من ريحة الغالي هاري بوتر 💔 https://t.co/eovXq4WLsN
neutral,@movies_popcorn هذا فيلم هاري بوتر الجديد
positive,بمناسبة إنّي مروحة قريبًا،مافيش حدّ يعرف وين يبيعو في رداء التخفّي متاع هاري بوتر،نبي نلبسه أول يومين فالكلية باش مايضيعش الوقت فالسّلام :/
negative,@WhiteAngelPlace ومن قال عنها نظيفه !! هذي السياسه يا تقبلها مثل ما إهيا يا تقعد في بيتكم تطالع أفلام هاري بوتر 🔮🔮
neutral,يتكلم عن قصة ولد هاري بوتر الصغير اللي اهو الوحيد من اخوانه اللي دخل منزل سليذرن
neutral,نص اكاونتات هاري بوتر دارولي فولو 😂💗
neutral,ليته هاري بوتر بس الي يحتريني تحت كل شي من المسلسلات والافلام والانميات يحتريني تحت 😭 https://t.co/Elg5Hw8FYs
neutral,@iUnthinkable شف سلسله هاري بوتر
positive,@i0zh_  كنت ادور على هاري بوتر ولقطت😏😏
neutral,افضلي اتجاهل كل شيء واقعد اشوف هاري بوتر اليوم والله افضل ملجئ
neutral,قفشت الوله هاري بوتر المصري فالتليفزيون https://t.co/Dntra8yUzb
neutral,ودي البس عباءة الإخفاء حقة هاري بوتر واروح اعيش يوم مع اللي احبهم اشوف كيف يقضون يومهم واشوف ما وراء الكميرا .😩
neutral,RT @crybby90s: اللي يحبون كرتون افاتار وافلام هاري بوتر واستديو جيبلي وين ألقاهم ؟
positive,@MahoPalmer @TMZinArabic كانه هاري بوتر😂💔💔
neutral,المفروض فيه قوانين تكفل حقوقنا لأن البنت حتى لو لبست عباية الإخفاء حق هاري بوتر بيتحرشون بها السلق #فتاه_تضرب_متحرش
positive,* لغات وترجمه * تنكر بيل - بيتر بان * ديمي لافاتو *هاري بوتر * موهبه كتابيه خلابه ✨ https://t.co/cuOuuN1jEo
neutral,التعويذات المذكورة في سلسلة أفلام هاري بوتر هي كلمات حقيقية ، من لغات مختلفة ، وكلها تأتي بصيغة الأمر بنفس طريقة التعويذات السحرية
negative,لا والله كنت بكره الواد الخول ميلفوي ده وكان بياخد في طيزه من هاري بوتر في أي حاجة ينافسه فيها https://t.co/S7l1FqLijn
neutral,@s8nscookie @ilxne الله معاي ياكوكي ومعاي تعاويذ هاري بوتر السحريه 
positive,عندي وحده تشبه هاري بوتر يا انها كيوتيه😨!😭💗
positive,لولا هاري بوتر عليا بس❤️😳
positive,واحد من ابطال هارى بوتر جاى فى فلاش
positive,RT @mbcmax: إيدي ريدماين يخترق عالم هاري بوتر في تريلار #FantasticBeastsAndWhereToFindThemhttps://t.co/qt6tTTuVYq#MBCMAX https://t.co/ASf…
neutral,RT @HamdanHrb: ابك يولد هاري بوتر فلم للورعان شجرة تمشي وضفدع يتكلم ميخييييس https://t.co/0aYQBBGj9F
neutral,@AdelsGrail فيه عن كل شخصيات هاري بوتر غوغله 😂
neutral,@0Fajar0 تابعتي سلسلة هاري بوتر؟
positive,يعني مش هاري بوتر زي ما الامورة دي ما بتقول 😂 https://t.co/ZVf6EYb0UV
negative,هم يتغزلون و انتي مثل بومه هاري بوتر توصلين الكلام https://t.co/lWEFPRK0tj
positive,في زمنالآيفونالأنترنتبرشلونةديورهاري بوترديزنيبوينغماكدونالد نحن لسنا أمتداداً لأحدبل أمتداداً لرغباتنا وحاجاتنابالحضارة الكونية
neutral,RT @sxahl: هاري بوتر ⚡️. https://t.co/hkLH2FJ9Ht
positive,ساوند تراك هاري بوتر و مقدسات الموت يفوز بـ احمل ساوند تراك على الاطلاق بعد قيم اوف ثرونز 💛💛
negative,الله ينعلكم وينعل هاري بوتر فوقكم.
neutral,@almaith_3a @HGH__18  نشطتها مال هاري بوتر احس 😂
positive,من يتفرج معايا ع هاري بوتر
neutral,هو كان اسمه بوتر وكان دايما يتأخر في التصوير والمخرج يكلمه يقله هاري بوتر هاري بوتر لحد ماطلعت عليه..
neutral,@Khomene1 ذكروني بغاندالف في سلسلة افلام هاري بوتر هولاء الدلوخ😂😂
neutral,من باقي ما اقنعته يشوف هاري بوتر؟ https://t.co/HHcTOWn5di
neutral,@Mohammed_Unitedوش اللي معجبك بلورد اوف ذا رينقز؟ هاري بوتر مختلف عن(لاذر)جي كي بنص كل فلم تحسسك انك قافط الوضع ومتوقع الاحداث لكن بالنهاية=
negative,@Ser_Arthur4 كاتي شخص عاطفي صعب يعترف بافضلية مسلسل او فلم على الانميات .. يذكرني بنفسي قبل لا اتابع هاري بوتر مع انه تابع ضعف اضعافي
positive,RT @znb_khan: احب فيلم هاري بوتربكل شخصياته 😍 https://t.co/j5iYrZbpXs
positive,@HamdanHrb بصراحة سلسلة عظيمة مثل هاري بوتر حرام تتابعها بغير البلوراي
